,key,LocID,airport name,facility type,FAA region,county,city,state,airport type,latitude,longiutde,Boundary Data Available
836,1962.0,GTR,GOLDEN TRIANGLE RGNL,Airport,ASO,LOWNDES,COLUMBUS/W POINT/STARKVILLE,MS,Federalized/Commercial,33.448278,-88.591389,Yes
837,2940.0,PHH,ROBERT F SWINNIE,Airport,ASO,GEORGETOWN,ANDREWS,SC,Public Use,33.4517,-79.526177,Yes
838,412.0,TXK,TEXARKANA RGNL-WEBB FIELD,Airport,ASW,MILLER,TEXARKANA,AR,Public Use,33.453722,-93.991028,Yes
839,2936.0,OGB,ORANGEBURG MUNI,Airport,ASO,ORANGEBURG,ORANGEBURG,SC,Public Use,33.456918,-80.859407,Yes
840,437.0,FFZ,FALCON FLD,Airport,AWP,MARICOPA,MESA,AZ,Public Use,33.460833,-111.728333,Yes
841,2385.0,SRR,SIERRA BLANCA RGNL,Airport,ASW,LINCOLN,RUIDOSO,NM,Public Use,33.460944,-105.530139,Yes
842,2012.0,5A6,WINONA-MONTGOMERY COUNTY,Airport,ASO,MONTGOMERY,WINONA,MS,Public Use,33.464988,-89.730218,Yes
843,1953.0,UBS,COLUMBUS-LOWNDES COUNTY,Airport,ASO,LOWNDES,COLUMBUS,MS,Public Use,33.465397,-88.380316,Yes
844,904.0,DNL,DANIEL FIELD,Airport,ASO,RICHMOND,AUGUSTA,GA,Public Use,33.466583,-82.039389,Yes
845,3262.0,37F,MUNDAY MUNI,Airport,ASW,KNOX,MUNDAY,TX,Public Use,33.468722,-99.586222,Yes
846,1986.0,GLH,MID DELTA RGNL,Airport,ASO,WASHINGTON,GREENVILLE,MS,Federalized/Commercial,33.482881,-90.985614,Yes
847,3306.0,F49,SLATON MUNI,Airport,ASW,LUBBOCK,SLATON,TX,Public Use,33.485233,-101.661678,Yes
848,5239.0,F82,TOWN & COUNTRY AIRPARK,Airport,ASW,LUBBOCK,LUBBOCK,TX,Public Use,33.485643,-101.812663,No
849,1974.0,IDL,INDIANOLA MUNI,Airport,ASO,SUNFLOWER,INDIANOLA,MS,Public Use,33.485722,-90.678889,Yes
850,355.0,4M5,DERMOTT MUNI,Airport,ASW,CHICOT,DERMOTT,AR,Public Use,33.487953,-91.442611,Yes
851,1963.0,GWO,GREENWOOD-LEFLORE,Airport,ASO,CARROLL,GREENWOOD,MS,Public Use,33.494299,-90.084799,Yes
852,1990.0,M51,OKTIBBEHA,Airport,ASO,OKTIBBEHA,STARKVILLE,MS,Public Use,33.497543,-88.681334,Yes
853,4072.0,0R6,HAMPTON MUNI,Airport,ASW,CALHOUN,HAMPTON,AR,Public Use,33.522611,-92.460278,No
854,440.0,GEU,GLENDALE MUNI,Airport,AWP,MARICOPA,GLENDALE,AZ,Public Use,33.526917,-112.295139,Yes
855,961.0,HQU,THOMSON-MCDUFFIE COUNTY,Airport,ASO,MC DUFFIE,THOMSON,GA,Public Use,33.529731,-82.516951,Yes
856,1958.0,06M,EUPORA,Airport,ASO,WEBSTER,EUPORA,MS,Public Use,33.534833,-89.313111,Yes
857,886.0,4A0,BERRY HILL,Airport,ASO,HENRY,STOCKBRIDGE,GA,Public Use,33.535556,-84.179056,Yes
858,5241.0,X65,TXAEROSPORT AERODROME,Airport,ASW,GRAYSON,DORCHESTER,TX,Public Use,33.53629,-96.680417,No
859,3234.0,LLN,LEVELLAND MUNI,Airport,ASW,HOCKLEY,LEVELLAND,TX,Public Use,33.552528,-102.372528,Yes
860,324.0,PLR,ST CLAIR COUNTY,Airport,ASO,ST CLAIR,PELL CITY,AL,Public Use,33.558833,-86.249056,Yes
861,416.0,3M9,WARREN MUNI,Airport,ASW,BRADLEY,WARREN,AR,Public Use,33.560443,-92.085389,Yes
862,263.0,BHM,BIRMINGHAM-SHUTTLESWORTH INTL,Airport,ASO,JEFFERSON,BIRMINGHAM,AL,Federalized/Commercial,33.563889,-86.752306,Yes
863,327.0,ASN,TALLADEGA MUNI,Airport,ASO,TALLADEGA,TALLADEGA,AL,Public Use,33.569504,-86.051201,Yes
864,5232.0,T32,SUDDEN STOP,Airport,ASW,GRAYSON,COLLINSVILLE,TX,Public Use,33.571498,-96.907225,No
865,541.0,F70,FRENCH VALLEY,Airport,AWP,RIVERSIDE,MURRIETA/TEMECULA,CA,Public Use,33.574179,-117.128473,Yes
866,3093.0,T39,ARCHER CITY MUNI,Airport,ASW,ARCHER,ARCHER CITY,TX,Public Use,33.582326,-98.618668,Yes
867,1985.0,M83,MCCHAREN FIELD,Airport,ASO,CLAY,WEST POINT,MS,Public Use,33.584028,-88.666694,Yes
868,2943.0,MNI,SANTEE COOPER RGNL,Airport,ASO,CLARENDON,MANNING,SC,Public Use,33.587111,-80.208667,Yes
869,256.0,ANB,ANNISTON RGNL,Airport,ASO,CALHOUN,ANNISTON,AL,Public Use,33.588167,-85.858111,Yes
870,3127.0,LBR,CLARKSVILLE/RED RIVER CTY-J D TRISSELL FLD,Airport,ASW,RED RIVER,CLARKSVILLE,TX,Public Use,33.593165,-95.063555,Yes
871,5165.0,7T0,FREEDOM FIELD,Airport,ASW,COOKE,LINDSAY,TX,Public Use,33.593611,-97.218889,No
872,4210.0,3J7,GREENE COUNTY RGNL,Airport,ASO,GREENE,GREENSBORO,GA,Public Use,33.597969,-83.138261,No
